BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03 (NetLogo),,,,
05/23/2018 04:41:59:105 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
,252,300,504,64
,297,291,468,64
,325,245,486,64
,362,218,476,64
,394,181,481,64
,427,149,480,64
,460,111,485,64
,490,50,516,64
,497,16,543,64
,491,1,564,64
,476,2,578,64
,456,1,599,64
,440,2,614,64
,424,2,630,64
,410,0,646,64
,389,1,666,64
,376,0,680,64
,367,1,688,64
,339,1,716,64
,319,1,736,64
,295,2,759,64
,282,1,773,64
,255,1,800,64
,245,4,807,64
,245,37,774,64
,268,106,682,64
,306,221,529,64
,335,234,487,64
,361,203,492,64
,385,172,499,64
,418,152,486,64
,460,127,469,64
,490,74,492,64
,522,18,516,64
,509,1,546,64
,487,3,566,64
,475,12,569,64
,470,2,584,64
,453,0,603,64
,428,2,626,64
,408,1,647,64
,387,2,667,64
,374,0,682,64
,356,1,699,64
,338,1,717,64
,322,1,733,64
,309,0,747,64
,286,0,770,64
,277,1,778,64
,260,0,796,64
,241,0,815,64
,221,0,835,64
,206,0,850,64
,188,0,868,64
,170,1,885,64
,163,38,855,64
,180,170,706,64
,219,345,492,64
,263,324,469,64
,297,282,477,64
,331,246,479,64
,370,212,474,64
,411,173,472,64
,450,131,475,64
,471,88,497,64
,506,48,502,64
,513,3,540,64
,499,1,556,64
,485,0,571,64
,458,3,595,64
,440,0,616,64
,424,0,632,64
,400,2,654,64
,403,24,629,64
,406,14,636,64
,401,1,654,64
,378,0,678,64
,361,0,695,64
,345,7,704,64
,343,22,691,64
,347,19,690,64
,338,1,717,64
,313,0,743,64
,288,1,767,64
,254,1,801,64
,239,0,817,64
,224,2,830,64
,208,31,817,64
,229,140,687,64
,271,295,490,64
,311,274,471,64
,350,232,474,64
