JAILED,ACTIVE,QUIET,COPS
410,129,517,64
444,82,530,64
469,28,559,64
464,0,592,64
454,1,601,64
432,0,624,64
417,1,638,64
406,0,650,64
383,0,673,64
369,0,687,64
354,0,702,64
343,1,712,64
327,1,728,64
322,9,725,64
313,28,715,64
315,27,714,64
318,17,721,64
324,29,703,64
337,72,647,64
367,96,593,64
396,78,582,64
414,56,586,64
423,46,587,64
431,52,573,64
440,39,577,64
438,15,603,64
420,0,636,64
390,2,664,64
366,0,690,64
343,1,712,64
324,7,725,64
320,22,714,64
323,32,701,64
330,26,700,64
331,13,712,64
329,1,726,64
312,0,744,64
290,0,766,64
279,1,776,64
267,0,789,64
253,0,803,64
240,1,815,64
230,1,825,64
216,0,840,64
206,0,850,64
190,3,863,64
174,0,882,64
156,0,900,64
137,1,918,64
130,1,925,64
124,12,920,64
136,130,790,64
183,335,538,64
225,335,496,64
270,295,491,64
319,248,489,64
362,198,496,64
402,158,496,64
444,109,503,64
488,50,518,64
513,3,540,64
485,0,571,64
467,0,589,64
450,1,605,64
433,0,623,64
411,3,642,64
395,4,657,64
386,3,667,64
366,0,690,64
354,0,702,64
333,0,723,64
318,16,722,64
323,77,656,64
354,102,600,64
392,134,530,64
431,115,510,64
462,55,539,64
484,19,553,64
476,4,576,64
448,0,608,64
421,0,635,64
398,0,658,64
377,0,679,64
345,0,711,64
320,1,735,64
303,0,753,64
278,0,778,64
258,0,798,64
242,15,799,64
246,24,786,64
248,3,805,64
241,0,815,64
233,2,821,64
240,32,784,64
270,67,719,64
295,89,672,64
329,165,562,64
352,173,531,64
392,149,515,64
430,119,507,64
470,72,514,64
491,17,548,64
475,0,581,64
446,0,610,64
421,0,635,64
404,1,651,64
384,0,672,64
364,1,691,64
343,1,712,64
325,0,731,64
311,0,745,64
286,2,768,64
275,0,781,64
260,0,796,64
249,1,806,64
239,0,817,64
224,1,831,64
212,0,844,64
193,1,862,64
177,0,879,64
166,0,890,64
147,0,909,64
132,0,924,64
121,0,935,64
104,0,952,64
99,1,956,64
83,1,972,64
74,1,981,64
64,1,991,64
53,0,1003,64
44,4,1008,64
59,65,932,64
108,289,659,64
165,409,482,64
215,352,489,64
266,303,487,64
321,251,484,64
370,196,490,64
420,147,489,64
455,90,511,64
486,36,534,64
495,7,554,64
487,0,569,64
462,0,594,64
441,2,613,64
429,0,627,64
399,1,656,64
387,4,665,64
369,1,686,64
347,0,709,64
333,0,723,64
315,1,740,64
297,1,758,64
279,1,776,64
268,1,787,64
251,0,805,64
238,0,818,64
216,16,824,64
219,80,757,64
239,154,663,64
282,261,513,64
323,239,494,64
359,194,503,64
398,158,500,64
433,111,512,64
458,58,540,64
473,16,567,64
465,2,589,64
447,0,609,64
417,1,638,64
401,3,652,64
387,7,662,64
373,3,680,64
362,3,691,64
342,1,713,64
334,1,721,64
315,0,741,64
301,1,754,64
282,0,774,64
268,0,788,64
258,0,798,64
237,0,819,64
224,0,832,64
209,0,847,64
197,0,859,64
186,2,868,64
167,0,889,64
163,52,841,64
183,212,661,64
220,310,526,64
254,297,505,64
292,262,502,64
327,227,502,64
368,190,498,64
411,146,499,64
450,89,517,64
484,40,532,64
480,14,562,64
471,6,579,64
460,4,592,64
446,1,609,64
434,0,622,64
410,1,645,64
399,0,657,64
383,3,670,64
364,2,690,64
351,0,705,64
341,1,714,64
324,2,730,64
322,12,722,64
320,3,733,64
304,0,752,64
283,9,764,64
288,46,722,64
310,97,649,64
343,166,547,64
373,159,524,64
399,131,526,64
428,101,527,64
471,53,532,64
484,8,564,64
457,0,599,64
434,2,620,64
415,0,641,64
382,0,674,64
365,1,690,64
344,1,711,64
331,3,722,64
307,12,737,64
317,22,717,64
321,6,729,64
316,48,692,64
336,99,621,64
362,130,564,64
404,97,555,64
430,86,540,64
471,59,526,64
490,22,544,64
475,2,579,64
456,0,600,64
435,0,621,64
404,0,652,64
374,1,681,64
349,1,706,64
321,0,735,64
289,0,767,64
269,1,786,64
256,1,799,64
238,0,818,64
224,3,829,64
206,1,849,64
198,35,823,64
220,112,724,64
266,217,573,64
307,249,500,64
348,210,498,64
388,170,498,64
423,123,510,64
447,77,532,64
472,25,559,64
468,2,586,64
452,0,604,64
425,0,631,64
399,2,655,64
382,0,674,64
368,1,687,64
353,0,703,64
333,0,723,64
316,9,731,64
307,33,716,64
324,14,718,64
319,0,737,64
311,0,745,64
290,0,766,64
275,0,781,64
258,1,797,64
242,0,814,64
234,30,792,64
247,67,742,64
281,185,590,64
319,236,501,64
360,190,506,64
388,144,524,64
415,112,529,64
441,74,541,64
468,37,551,64
467,9,580,64
452,0,604,64
427,0,629,64
408,1,647,64
389,2,665,64
372,0,684,64
359,1,696,64
340,2,714,64
329,0,727,64
312,0,744,64
293,1,762,64
286,24,746,64
302,53,701,64
337,88,631,64
369,142,545,64
403,133,520,64
445,98,513,64
474,42,540,64
482,13,561,64
459,1,596,64
431,1,624,64
403,1,652,64
371,1,684,64
358,4,694,64
331,0,725,64
303,1,752,64
279,3,774,64
263,2,791,64
249,1,806,64
237,1,818,64
224,1,831,64
208,1,847,64
189,1,866,64
177,1,878,64
178,21,857,64
203,122,731,64
244,265,547,64
291,274,491,64
337,229,490,64
371,182,503,64
413,143,500,64
443,91,522,64
475,40,541,64
485,2,569,64
474,0,582,64
451,0,605,64
429,1,626,64
413,0,643,64
392,0,664,64
372,1,683,64
357,0,699,64
336,5,715,64
326,18,712,64
331,1,724,64
312,10,734,64
307,38,711,64
312,47,697,64
328,30,698,64
339,68,649,64
371,62,623,64
399,56,601,64
418,75,563,64
430,57,569,64
445,33,578,64
456,2,598,64
431,1,624,64
403,2,651,64
382,0,674,64
363,0,693,64
337,1,718,64
320,0,736,64
293,0,763,64
274,0,782,64
264,0,792,64
249,1,806,64
236,0,820,64
226,0,830,64
216,9,831,64
227,51,778,64
257,126,673,64
301,230,525,64
346,210,500,64
388,167,501,64
429,122,505,64
458,72,526,64
482,37,537,64
485,2,569,64
458,0,598,64
430,0,626,64
407,2,647,64
372,0,684,64
346,2,708,64
323,3,730,64
318,11,727,64
318,0,738,64
300,0,756,64
291,1,764,64
284,11,761,64
284,17,755,64
283,60,713,64
312,140,604,64
350,195,511,64
393,168,495,64
425,122,509,64
454,77,525,64
489,28,539,64
476,3,577,64
457,0,599,64
427,0,629,64
396,0,660,64
376,1,679,64
346,1,709,64
331,0,725,64
315,18,723,64
311,43,702,64
342,51,663,64
370,121,565,64
398,112,546,64
432,67,557,64
475,43,538,64
485,13,558,64
463,15,578,64
448,6,602,64
425,0,631,64
408,1,647,64
383,2,671,64
366,0,690,64
341,0,715,64
315,1,740,64
300,1,755,64
279,12,765,64
276,57,723,64
292,128,636,64
334,182,540,64
367,183,506,64
404,151,501,64
444,106,506,64
488,60,508,64
506,7,543,64
485,1,570,64
462,0,594,64
442,0,614,64
415,0,641,64
392,1,663,64
369,2,685,64
345,0,711,64
328,0,728,64
308,0,748,64
285,1,770,64
261,0,795,64
245,0,811,64
224,0,832,64
207,1,848,64
191,1,864,64
181,0,875,64
170,2,884,64
156,0,900,64
143,2,911,64
134,2,920,64
135,59,862,64
174,217,665,64
221,344,491,64
258,296,502,64
300,261,495,64
342,220,494,64
389,176,491,64
430,126,500,64
468,65,523,64
