BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03,,,,
05/24/2018 04:10:46:423 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
,348,15,693,64
,343,1,712,64
,322,0,734,64
,313,20,723,64
,322,38,696,64
,346,41,669,64
,368,5,683,64
,357,41,658,64
,374,84,598,64
,391,136,529,64
,419,121,516,64
,448,94,514,64
,476,70,510,64
,502,14,540,64
,482,1,573,64
,451,0,605,64
,434,0,622,64
,399,1,656,64
,375,0,681,64
,344,0,712,64
,324,0,732,64
,309,0,747,64
,296,1,759,64
,276,0,780,64
,258,0,798,64
,249,10,797,64
,257,63,736,64
,285,129,642,64
,317,240,499,64
,356,227,473,64
,401,189,466,64
,437,140,479,64
,466,94,496,64
,500,50,506,64
,508,9,539,64
,492,0,564,64
,464,1,591,64
,444,0,612,64
,422,1,633,64
,401,0,655,64
,370,0,686,64
,351,5,700,64
,330,10,716,64
,314,10,732,64
,302,5,749,64
,295,0,761,64
,285,0,771,64
,272,0,784,64
,267,15,774,64
,275,27,754,64
,286,122,648,64
,326,210,520,64
,369,218,469,64
,398,177,481,64
,433,148,475,64
,468,110,478,64
,509,55,492,64
,518,13,525,64
,501,1,554,64
,476,2,578,64
,443,0,613,64
,420,0,636,64
,396,1,659,64
,373,1,682,64
,356,0,700,64
,342,0,714,64
,326,1,729,64
,310,0,746,64
,301,1,754,64
,289,0,767,64
,279,0,777,64
,256,0,800,64
,241,14,801,64
,257,89,710,64
,287,220,549,64
,329,258,469,64
,374,215,467,64
,408,171,477,64
,446,137,473,64
,479,80,497,64
,487,36,533,64
,477,9,570,64
,461,0,595,64
,433,0,623,64
,401,0,655,64
,378,1,677,64
,350,2,704,64
,330,1,725,64
,306,1,749,64
,305,2,749,64
,289,0,767,64
,278,0,778,64
,263,0,793,64
,244,0,812,64
,231,0,825,64
,217,6,833,64
,226,97,733,64
,256,196,604,64
,302,274,480,64
,338,243,475,64
,385,208,463,64
,415,153,488,64
,448,119,489,64
,486,79,491,64
,504,16,536,64
,483,0,573,64
