BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03,,,,
05/24/2018 04:13:10:014 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
,373,0,683,64
,352,0,704,64
,329,1,726,64
,317,30,709,64
,320,55,681,64
,331,122,603,64
,366,194,496,64
,402,182,472,64
,431,140,485,64
,451,111,494,64
,477,78,501,64
,490,38,528,64
,477,1,578,64
,456,1,599,64
,429,1,626,64
,399,1,656,64
,389,0,667,64
,373,0,683,64
,359,0,697,64
,339,0,717,64
,319,2,735,64
,306,24,726,64
,305,62,689,64
,334,152,570,64
,375,197,484,64
,409,180,467,64
,450,141,465,64
,479,95,482,64
,514,38,504,64
,518,2,536,64
,501,1,554,64
,475,0,581,64
,448,0,608,64
,426,1,629,64
,399,0,657,64
,371,0,685,64
,354,28,674,64
,352,57,647,64
,373,59,624,64
,402,60,594,64
,416,46,594,64
,433,66,557,64
,454,88,514,64
,464,65,527,64
,474,42,540,64
,475,6,575,64
,460,0,596,64
,441,0,615,64
,422,1,633,64
,403,0,653,64
,375,2,679,64
,354,0,702,64
,333,1,722,64
,310,0,746,64
,279,2,775,64
,258,0,798,64
,236,16,804,64
,241,111,704,64
,278,256,522,64
,317,274,465,64
,356,238,462,64
,396,195,465,64
,433,154,469,64
,470,106,480,64
,497,57,502,64
,516,12,528,64
,510,0,546,64
,477,0,579,64
,441,0,615,64
,427,7,622,64
,416,30,610,64
,411,30,615,64
,414,43,599,64
,418,47,591,64
,437,22,597,64
,438,12,606,64
,429,2,625,64
,403,1,652,64
,390,0,666,64
,362,0,694,64
,340,0,716,64
,322,1,733,64
,300,2,754,64
,278,0,778,64
,260,0,796,64
,229,0,827,64
,213,0,843,64
,195,2,859,64
,179,0,877,64
,153,1,902,64
,140,2,914,64
,123,0,933,64
,115,1,940,64
,107,0,949,64
,101,0,955,64
,94,0,962,64
,88,1,967,64
,102,54,900,64
,145,259,652,64
,198,410,448,64
