Java Model MCSS (Evan & Shalitha),,,,
Rebellion,,,,
Rebellion experiment 08 (Java),,,,
Wed May 23 13:07:19 AEST 2018,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,
government-legitimacy,0.76,,,
movement?,TRUE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization, N/A,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],,,,
[min],,,,
[max],,,,
[mean],,,,
[steps],20000,20000,20000,
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,243,1,812,64
,226,3,827,64
,205,2,849,64
,185,5,866,64
,174,2,880,64
,152,5,899,64
,134,1,921,64
,112,3,941,64
,102,1,953,64
,90,2,964,64
,76,4,976,64
,65,2,989,64
,58,4,994,64
,49,1,1006,64
,43,98,915,64
,72,390,594,64
,128,466,462,64
,183,412,461,64
,238,357,461,64
,283,312,461,64
,336,259,461,64
,385,210,461,64
,433,161,462,64
,477,103,476,64
,517,18,521,64
,510,3,543,64
,488,2,566,64
,467,3,586,64
,452,5,599,64
,438,2,616,64
,412,6,638,64
,396,3,657,64
,375,2,679,64
,358,3,695,64
,341,4,711,64
,329,0,727,64
,308,7,741,64
,287,4,765,64
,261,2,793,64
,246,2,808,64
,223,2,831,64
,204,3,849,64
,189,3,864,64
,177,4,875,64
,163,1,892,64
,143,27,886,64
,136,2,918,64
,115,3,938,64
,96,8,952,64
,84,2,970,64
,73,3,980,64
,66,3,987,64
,61,3,992,64
,58,0,998,64
,54,2,1000,64
,45,146,865,64
,88,393,575,64
,140,455,461,64
,191,404,461,64
,243,352,461,64
,302,293,461,64
,358,237,461,64
,403,188,465,64
,449,133,474,64
,490,59,507,64
,514,2,540,64
,497,1,558,64
,476,5,575,64
,462,4,590,64
,446,3,607,64
,430,3,623,64
,411,4,641,64
,397,2,657,64
,376,3,677,64
,356,3,697,64
,342,3,711,64
,321,3,732,64
,306,0,750,64
,286,1,769,64
,265,32,759,64
,266,29,761,64
,270,1,785,64
,245,1,810,64
,212,5,839,64
,193,3,860,64
,168,9,879,64
,155,4,897,64
,141,1,914,64
,123,1,932,64
,109,3,944,64
,97,1,958,64
,85,1,970,64
,76,3,977,64
,64,48,944,64
,82,253,721,64
,137,449,470,64
,190,405,461,64
,244,351,461,64
,301,294,461,64
,352,243,461,64
,402,193,461,64
,446,145,465,64
,488,71,497,64
,519,4,533,64
,504,2,550,64
,481,5,570,64
,464,6,586,64
,456,1,599,64
,435,3,618,64
,411,2,643,64
,389,2,665,64
,359,6,691,64
,349,5,702,64
,337,3,716,64
,318,2,736,64
,296,3,757,64
,272,8,776,64
,262,2,792,64
,248,1,807,64
,226,4,826,64
,210,4,842,64
,196,2,858,64
,183,1,872,64
,167,1,888,64
,152,2,902,64
,138,13,905,64
,129,81,846,64
,133,279,644,64
,169,423,464,64
,209,386,461,64
,250,345,461,64
,296,299,461,64
,350,245,461,64
,390,205,461,64
,439,151,466,64
,480,73,503,64
,498,9,549,64
,491,3,562,64
,470,3,583,64
,453,1,602,64
,441,2,613,64
,422,1,633,64
,407,3,646,64
,397,0,659,64
,376,2,678,64
,351,5,700,64
,343,1,712,64
,326,0,730,64
,303,4,749,64
,293,1,762,64
,282,3,771,64
,268,2,786,64
,235,4,817,64
,211,33,812,64
,207,124,725,64
,222,246,588,64
,262,314,480,64
,297,298,461,64
,333,262,461,64
,361,234,461,64
,396,198,462,64
,427,160,469,64
,465,88,503,64
,500,22,534,64
,494,4,558,64
,471,6,579,64
,456,2,598,64
,437,1,618,64
,422,3,631,64
,411,1,644,64
,387,1,668,64
,362,5,689,64
,344,4,708,64
,329,2,725,64
,314,5,737,64
,296,5,755,64
,279,12,765,64
,269,1,786,64
,256,3,797,64
,240,2,814,64
,228,10,818,64
,207,7,842,64
,192,2,862,64
,179,2,875,64
,163,1,892,64
,137,15,904,64
,125,3,928,64
,108,7,941,64
,96,2,958,64
,82,3,971,64
,69,2,985,64
,61,4,991,64
,61,1,994,64
,54,2,1000,64
,52,2,1002,64
,52,4,1000,64
,51,2,1003,64
,48,4,1004,64
,47,11,998,64
,52,1,1003,64
,51,47,958,64
,70,252,734,64
,123,460,473,64
,168,427,461,64
,223,372,461,64
,268,327,461,64
